id,firm,email,email_type,verification_status,conversion_estimate,score,outreach_mode,harsh_free_pilot_acceptance_pct,harsh_paid_conversation_pct,subject,personalization_hook,source
L-0250,AAC Flat Roofing / AAC Waterproofing,info@aacflatroofing.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one flat roofing, waterproofing and roof refurbishment tender?","project proof includes Warrington and Halton Teaching Hospitals NHS FT; hospitals, schools and universities referenced",https://aacflatroofing.co.uk; https://www.lrwa.org.uk/members/aac-waterproofing/; https://uk.linkedin.com/company/aac-flatroofing-ltd
L-0254,Envtec Services Ltd,info@envtecservices.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one HVAC, air conditioning, refrigeration and FM tender?","education HVAC, PPM, SafeContractor, Refcom F-Gas and enhanced DBS signals",https://www.envtecservices.co.uk/; https://www.linkedin.com/company/envtec-services/
L-0255,Shield Electrical Services Ltd,enquiries@shieldelectricalservices.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one air conditioning and electrical compliance tender through Bidframe?,"air conditioning for local authorities and schools; REFCOM, F-Gas CAT1, CHAS, SafeContractor, TrustMark and preventative maintenance",https://shieldelectricalservices.co.uk/index.php/air-conditioning/
L-0257,Smart Energy Projects Ltd / Smart Projects,info@smartenergyprojects.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one TM44 inspections, AC inspections, HVAC service and refrigeration tender?","TM44 inspections for schools, colleges, universities, healthcare and facilities managers; AC compliance and maintenance",https://smartenergyprojects.co.uk/smart-business/smart-serv/tm44-air-conditioning-energy-assessments/; https://uk.linkedin.com/company/smart-energy-projects-ltd
L-0259,Hayman Mechanical Services Ltd,enquires@haymanmechanical.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one mechanical services, air conditioning, heating, service and maintenance tender?","30+ years public-sector and council experience; education, medical, schools, controlled environments, DBS engineers and maintenance",https://haymanmechanical.co.uk/service-and-maintenance; https://haymanmechanical.co.uk/renewable; https://uk.linkedin.com/company/hayman-mechanical-services-ltd
L-0261,Panache Fire Services,sales@panachefire.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one passive fire, fire stopping, fire doors and compartmentation tender through Bidframe?","social housing, NHS, schools, education, fire stopping, fire doors and compartmentation",https://www.panachefire.co.uk/contact-us; https://www.panachefire.co.uk/passive-protection/passive-fire-protection
L-0262,Cerberus Fire,info@cerberusfire.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one passive fire protection, fire doors and fire stopping tender?","social housing, NHS, education, passive fire, fire doors and fire stopping",https://cerberusfire.co.uk/contact-us/; https://cerberusfire.co.uk/passive-fire-protection/
L-0263,Advanced Southwest,info@advancedsouthwest.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one FIRAS fire stopping, passive fire and compartmentation tender?","social housing, housing associations, NHS, healthcare and FIRAS fire stopping",https://advancedsouthwest.co.uk/2025/09/15/firas-firestopping-cornwall-devon-dorset/
L-0264,Assured Fire Door Systems,sales@assuredfds.com,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one fire doors, compartmentation surveys and compliance tender through Bidframe?","local authorities, councils, housing associations, NHS, universities and compartmentation surveys",https://assuredfds.com/contact-us/; https://assuredfds.com/fire-compartmentation-surveys/
L-0265,FD Fire Door,enquiries@fdfiredoor.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one fire door inspections, surveys, installation and compliance tender?","local authorities, housing, healthcare, universities, education, fire-door inspection and maintenance",https://www.fdfiredoor.co.uk/
L-0273,Industrial Roofing Services (NE) Ltd,info@industrialroofingservices.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one industrial roofing, sheet cladding and flat roofing tender through Bidframe?","dedicated public-sector page for councils, schools, hospitals, housing and public bodies",https://www.industrialroofingservices.co.uk/; https://www.industrialroofingservices.co.uk/sectors/public/
L-0277,Safeflow Ventilation,info@safeflowventilation.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one fire and smoke damper testing and ventilation hygiene tender?,"NHS fire/smoke damper inspections, Bradford Royal Hospital and Alder Hey ventilation works",https://www.safeflowventilation.co.uk/contact-us; https://www.safeflowventilation.co.uk/news/post/liverpool-hospital-fire-smoke-damper-inspections; https://www.safeflowventilation.co.uk/testimonials
L-0278,PRN Hygiene Services,enquiry@prnhygiene.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one fire damper testing, ventilation ductwork and IAQ tender?","NHS, Government, education, care homes, Police and MOD authorities listed",https://www.prnhygiene.co.uk/contact; https://www.prnhygiene.co.uk/; https://uk.linkedin.com/company/prn-hygiene-services-limited
L-0279,Duct Hygiene Ltd,info@ducthygiene.com,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one ventilation hygiene, fire damper testing, firestopping and fire doors tender through Bidframe?","local authorities, social housing groups, education/care sectors and compliance reporting",https://ducthygiene.com/; https://uk.linkedin.com/company/duct-hygiene-ltd
L-0281,ecoDriver Ltd,info@ecodriver.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one BMS, energy controls, metering and decarbonisation tender?","South Warwickshire University NHS FT energy project, Halliford School and NHS controls issue work",https://ecodriver.co.uk/measuring/; https://uk.linkedin.com/company/ecodriverltd; https://find-and-update.company-information.service.gov.uk/company/05258662
L-0283,Tecomak Environmental Services,sales@tecomak.com,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one specialist ventilation, HTM compliance, LEV and fire damper testing tender?","healthcare, schools/colleges, universities, hospitals, HTM compliance and LEV testing",https://www.tecomak.com/contact/; https://www.tecomak.com/service/schools-colleges/; https://uk.linkedin.com/company/tecomak-environmental-services-ltd
L-0287,AssuredBID,hello@assuredbid.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one health and social care tender writing tender?,"Specialist tender writing for NHS trusts, local authorities, health and social care frameworks",https://assuredbid.co.uk/; https://uk.linkedin.com/company/assuredbid
L-0291,The Project Advisory Group,info@thepag.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one social value tender support tender through Bidframe?,Social value tender and bid writing support for public-sector tenders,https://thepag.co.uk/social-value/
L-0297,PAT-iT Ltd,info@pat-it.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one PAT tender through Bidframe?,"Schools, academies, colleges; councils, housing associations, emergency services",https://www.pat-it.co.uk/education/
L-0298,Precision Lift Services Ltd,info@precisionlifts.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one lift maintenance tender?,Fusion21 lift framework awardee; local authorities/social housing,https://fusion21.delta-esourcing.com/commonNoticeSearch/viewNotice.html?displayNoticeId=872629000; https://www.precisionlifts.co.uk/
L-0300,Perfect Hygiene Ltd,admin@perfecthygiene.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one clinical waste tender through Bidframe?,NHS Grampian clinical-waste testimonial; University of St Andrews academic-year service proof,https://www.perfecthygiene.co.uk/contact-us/
L-0301,Highways Plus Ltd,info@highwaysplus.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one winter gritting tender?,Local councils/highway authorities and education facilities listed for winter maintenance,https://www.highwaysplus.co.uk/winter-maintenance-gritting-services/
L-0302,JHB UK Ltd,admin@jhbukltd.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one line marking tender?,"Public roads/highways, crossings, school playground markings; NHSS/Constructionline",https://www.jhbukltd.co.uk/road-marking.html; https://www.jhbukltd.co.uk/contact.html
L-0309,Academy21,contact@academy21.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one alternative provision tender through Bidframe?,"LA/school AP commissioning, Section 19 style provision",https://www.swindon.gov.uk/directory_record/25638/academy21_limited; https://academy21.co.uk/working-with-local-authorities/; https://academy21.co.uk/
L-0314,Education Boutique,info@educationboutique.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one bespoke AP tender?,Non-school AP lists; SEND/SEMH/medical learners; LA directories,https://can-do.bracknell-forest.gov.uk/Page/20898; https://www.educationboutique.co.uk/; https://uk.linkedin.com/company/education-boutique
L-0315,Northcoders,hello@northcoders.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one skills bootcamps tender through Bidframe?,"DfE Skills Bootcamps, Lancashire Skills & Employment Hub",https://www.northcoders.com/terms-conditions/; https://www.northcoders.com/our-courses/skills-bootcamps-in-lancashire/apply/; https://www.northcoders.com/our-courses/skills-bootcamps-in-lancashire/
L-0316,Vectare,info@vectare.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one school transport technology tender?,School transport and public-sector transport management,https://www.linkedin.com/pulse/exciting-news-from-vectare-vectare-qfrne; https://vectare.co.uk/; https://uk.linkedin.com/company/vectare
L-0002,Tender Victory,admin@tendervictory.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,Could I map one consultancy tender?,Top validator (scored bids from the buyer side); phone is public; founder-led fast decision,https://tendervictory.co.uk/
L-0018,Glaxtons Consulting,info@glaxtons.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,Run one consultancy tender through Bidframe?,Public email confirmed; reachable bid consultancy with strong first-read tender review fit,glaxtons.co.uk/contact
L-0147,Beyond Translation Ltd,info@beyondtranslation.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,Run one translation tender through Bidframe?,"NHS, police, courts, prisons and local authority language-services frameworks",https://www.beyondtranslation.co.uk/
L-0151,Kurco Ground Maintenance,hello@kurco.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,Free check on one grounds tender?,"local authority, education premises, schools, parish/local councils and housing developments",https://kurco.co.uk/
L-0202,WGS Waste Management Ltd,help@wgswaste.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,Free check on one hygiene tender?,"schools, clinics, care homes, nurseries, hospitals and vaccination centres hygiene and clinical waste services",https://www.wgswaste.co.uk/areas-covered/sanitary-bin-services-croydon; https://www.wgswaste.co.uk/contact
L-0221,CDS Electrical / Corin Dudley Electrical Services Ltd,info@cdselectrical.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,"Could I map one solar PV, battery, EV, heat pumps and electrical decarbonisation tender?","East Sussex County Council solar PV installs for commercial, education and government buildings; NICEIC, MCS, CHAS, TrustMark, OZEV",https://www.cdselectrical.co.uk/quote-form; https://www.cdselectrical.co.uk/news/major-solar-installs-for-east-sussex-county-council; https://uk.linkedin.com/company/cds-electrical-ltd
L-0233,Cater Clean 24 Seven / 24 Seven Group,info@24sevengroup.co.uk,domain,verified,High,150,free_pilot,1.60%,0.00%,"Could I map one TR19 kitchen extract cleaning, deep cleaning and catering hygiene tender?","TR19 kitchen extract and canopy cleaning for schools, hospitals, care homes and industrial kitchens",https://www.24sevengroup.co.uk/cater-clean-24-seven/; https://www.24sevengroup.co.uk/deep-clean-24-seven/; https://www.linkedin.com/company/24seven-group-uk
L-0321,Halo Lifts Ltd,info@halolifts.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one lift maintenance tender through Bidframe?,"Councils, schools and busy public buildings mentioned on site",halolifts.uk
L-0325,RJS Contractors Ltd,enquiries@rjscontractors.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one highways and drainage tender?,"Trusted by NHS and councils; services include drainage, S278, traffic management and line marking",rjscontractors.uk/contact; rjscontractors.uk/drainage
L-0326,Parallel Lines (Marking) Ltd,info@pl-sportsandplaygrounds.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Could I map one line marking tender?,"Works with schools, leisure centres and local authorities nationwide",pl-sportsandplaygrounds.co.uk/about-parallel-lines
L-0328,North West Facilities Ltd / Winter Gritting UK,info@wintergritting.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one winter maintenance tender?,"Publishes guidance for schools, local authorities and public bodies on winter compliance duties",wintergritting.co.uk/contact-us; wintergritting.co.uk/understanding-your-legal-obligations-winter-maintenance-and-the-law
L-0330,Crucial Environmental Ltd,hello@crucial-enviro.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one asbestos tender through Bidframe?,Dedicated public-sector/local-authority asbestos page,crucial-enviro.co.uk/industries/public-sector-local-authority; crucial-enviro.co.uk/contact-us
L-0331,Pure Air & Water Compliance Services Ltd,info@pureaw.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one water hygiene tender?,"Local-authority, education, healthcare and housing-association pages",pureaw.co.uk/blank-9; pureaw.co.uk/blank-2; pureaw.co.uk
L-0333,BMES Scotland Ltd,info@bmes-scotland.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one M&E and minor works tender through Bidframe?,"Framework pages mention NHS boards, local authorities, colleges and universities",bmesscotland.co.uk/contact; bmesscotland.co.uk/framework-agreements
L-0338,GBS Roofing Ltd,info@gbsroofing.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Could I map one roofing and cladding tender?,Operates in public and private sectors in Northern Ireland,gbsroofing.co.uk/about-us; gbsroofing.co.uk
L-0342,BPM Contracting Services,info@bpm-cs.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one electrical and property maintenance tender through Bidframe?,Bath and North East Somerset Council engineering services and Sanctuary Housing responsive repairs,bpm-cs.co.uk; bpm-cs.co.uk/case-study/bath-north-east-somerset-council-engineering-services; bpm-cs.co.uk/case-study/sanctuary-housing-responsive-repairs-void-works
L-0345,turn IT on,office@turniton.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one school ICT MSP tender through Bidframe?,Works exclusively with schools; local-authority services and FM agreement language,turniton.co.uk/contact; turniton.co.uk/local-authority
L-0351,Fusion Occupational Health,info@fusionoh.com,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one occupational health tender through Bidframe?,RM6296 occupational health DPS supplier signal; EHRC award via CCS DPS,fusionoh.com; supplierregistration.cabinetoffice.gov.uk/dps-suppliers/RM6296
L-0352,COPE Occupational Health Services,info@copeohs.com,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one occupational health tender?,"SEQOHS, ISO 9001, ESPO framework supplier and CCS framework supplier",cope.co.uk; cope.co.uk/standards; espo.org/occupational-health-services-985b-23.html
L-0356,Allied Lifts,info@alliedlifts.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Could I map one lift servicing and maintenance tender?,Public-sector clients plus NHS SBS and Fusion21 lift framework proof,alliedlifts.co.uk; alliedlifts.co.uk/contact-us; iheem.org.uk/fusion21-announces-suppliers-appointed-to-80-million-lifts-framework
L-0358,Elevators Ltd,info@elevatorsltd.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one lift maintenance and installation tender?,"Works across public sector, education, hospitals and libraries",elevatorsltd.co.uk
L-0360,Yates's Jetting,info@yatesjetting.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one drainage and CCTV surveys tender through Bidframe?,"Serves schools, local authorities, NHS, FM, construction and property managers",yatesjetting.co.uk; facebook.com/yatesjetting
L-0361,Managed Water Services,hello@managedwaterservices.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one water hygiene and legionella tender?,Local-authority page plus ProcurePublic DPS compliance/maintenance listing,managedwaterservices.co.uk/sectors/local-councils-and-authorities; procurepublic.co.uk/supplier/managed-water-services-limited
L-0363,Well Water Hygiene Services,info@wellwaterservices.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one water hygiene and legionella tender through Bidframe?,Education/local authority sectors and London Borough of Harrow Council project page,wellwaterservices.co.uk/contact; wellwaterservices.co.uk/project/london-borough-of-harrow-council
L-0365,RS Asbestos,enquiries@rsasbestos.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Could I map one asbestos surveys and removal tender?,Education-sector page and school/MAT asbestos compliance proof,rsasbestos.co.uk/education; rsasbestos.co.uk/asbestos-related-deaths-among-teachers
L-0366,JRM Road Markings,info@jrmroadmarkings.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one road and car park line marking tender through Bidframe?,"Works with Highways Agency, local authorities and schools",jrmroadmarkings.co.uk/road-markings; jrmroadmarkings.co.uk
L-0372,Geoffrey Robinson Ltd,enquiry@geoffreyrobinson.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one M&E and construction tender through Bidframe?,NEUPC minor works supplier and NEUPC mechanical installations award marked SME,geoffreyrobinson.co.uk; neupc.ac.uk/agreements/all?page=7
L-0373,CWG Group Ltd,enquiries@cwggroup.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,"Free check on one roofing, retrofit and refurbishment tender?","CHIC Roofing Systems, LHC RS5 and ProcurePublic Roofing Works 2025 SME",cwggroup.co.uk/contact; chicltd.co.uk/services/frameworks/roofing-systems-and-contractors; procurepublic.co.uk/framework/roofing-works-framework-2025
L-0374,Wales Roofing Solutions,info@wrs-roofing.com,generic,verified,High,150,free_pilot,1.60%,0.00%,Could I map one roofing and waterproofing tender?,WPA RS5 Roofing Systems framework and NHS hospital roofing proof,wales-roofing-solutions.co.uk; welshprocurement.cymru/all-frameworks/roofing-systems-and-associated-works-rs5
L-0375,Value Optimised Retrofit,info@vorgroup.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one retrofit and PAS 2035 decarbonisation tender through Bidframe?,ProcurePublic Decarbonisation and Retrofit Advisors Framework supplier,vorgroup.co.uk/contact; procurepublic.co.uk/supplier/value-optimised-retrofit-limited
L-0376,Classic Builders (South West),enquiries@classic-builders.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one construction and refurbishment tender?,"Fusion21 refurbishment/construction, PfH housing development and Southern Construction Framework award marked SME",classic-builders.co.uk; fusion21.co.uk/frameworks-refurbishment-construction-new-build-and-modular-buildings; southernconstructionframework.gov.uk
L-0385,Rezolution ICT,info@rezolution-ict.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one school networks and WiFi tender?,Everything ICT approved supplier for networking category,rezolution-ict.co.uk/everything-ict-framework; rezolution-ict.co.uk/contact-us
L-0387,Schools Broadband,info@schoolsbroadband.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,"Run one school broadband, filtering and cyber tender through Bidframe?","CCS, YPO, CPC, Everything ICT, enFrame and Pagabo framework routes",schoolsbroadband.co.uk/approved-frameworks
L-0388,Future Visuals,info@futurevisuals.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one AV and immersive classrooms tender?,"Everything ICT, DfE-approved framework and SEND/mainstream school settings",futurevisuals.co.uk/were-now-official-everything-ict-suppliers-what-this-means-for-you
L-0394,Nation Occupational Health,admin@nationoh.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one occupational health tender?,RM6296 supplier and NHS Workforce Alliance RM6386 supplier,nationoh.co.uk; noecpc.nhs.uk/contracts/nhs-workforce-alliance-occupational-health-employee-assistance-and-eye-care-rm6386
L-0396,ESF Apprenticeships,info@esfapprenticeships.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one school and SEND apprenticeships tender through Bidframe?,DfE apprenticeship training listing plus YPO and CCS supplier logo visibility,esfapprenticeships.co.uk/contact-us; findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/616/providers/10046677
L-0397,Apprentice Team Ltd,info@apprenticeteam.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Free check on one procurement apprenticeships tender?,DfE listing for procurement and supply-chain practitioner apprenticeship,apprenticeteam.org/procurement-and-supply-chain-practitioner-apprenticeship; findapprenticeshiptraining.apprenticeships.education.gov.uk/courses/222/providers/10043793
L-0399,Amstech Asbestos Removals Ltd,info@amstech.co.uk,generic,verified,High,150,free_pilot,1.60%,0.00%,Run one asbestos surveys and removal tender through Bidframe?,ProcurePublic Asbestos Removal Services Framework supplier and public framework partnerships,amstech.co.uk; amstech.co.uk/contact; procurepublic.co.uk/supplier/amstech-asbestos-removals-limited; arca.org.uk/asbestos-industry-directory/amstech-asbestos-removals-ltd/43b73ef1-a7fc-e511-80da-5065f38bd561
L-0211,The Bid Team,Daniel.Atkins@thebidteam.com,person,verified,High,148,free_pilot,1.60%,0.00%,Free check on one consultancy tender?,Bid consultancy with named public email; strong first-wave email target,https://www.thebidteam.com/contact-us/
L-0349,Parsons Construction,sales@parsonsgroup.co.uk,team,verified,High,148,paid_later,0.00%,0.30%,Faster first read on disabled adaptations tenders,Local Authority adaptations and framework agreements,parsonsgroup.co.uk/adaptation; parsonsgroup.co.uk; linkedin.com/company/parsons-group
L-0323,DASA,advice.team@dasa.co.uk,team,verified,High,144,paid_later,0.00%,0.30%,Requirement checks for drainage bids,"Education, healthcare, social housing and facilities-management sector pages",dasa.co.uk/contact; dasa.co.uk/commercial-drainage-services/drainage-services-for-the-education-sector
L-0329,Rentex Hygiene Services Ltd,sales@rentexhygiene.co.uk,team,verified,High,144,paid_later,0.00%,0.30%,Requirement checks for clinical waste and hygiene bids,Supplies and services local-authority residential and care homes,rentexhygiene.co.uk/clinical-waste-removal-pouches
L-0023,Able Support,enquiries@ablesupport.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Requirement checks for care bids,St Helens Domiciliary Care Approved List 2025/26,St Helens Council care provider list PDF
L-0024,Yes Care,sthelens@yes-care.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Bidframe for care tender reviews,St Helens Domiciliary Care Approved List 2025/26,St Helens Council care provider list PDF
L-0171,Wyllie Maintenance Services,info@wylliems.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Bidframe for PAT tender reviews,"PAT testing for local authorities, local councils, schools, colleges, nurseries and care homes",https://www.wylliems.co.uk/pat-testing-berkshire
L-0175,NRC WWS Ltd,info@nrcwws.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Faster first read on commercial drainage tenders,"local authorities, councils, schools, universities, hospitals and healthcare facilities drainage services",https://nrcwws.co.uk/drain-cleaning/; https://uk.linkedin.com/company/nrc-wws
L-0185,Harling Security Solutions Ltd,sales@harlingsecurity.com,domain,verified,High,142,paid_later,0.00%,0.30%,"Requirement checks for automatic gates, barriers, access control and school security bids","educational and commercial organisations; school gates, barriers and access control",https://www.theadia.co.uk/members-directory/harling-security-solutions-ltd/; https://www.harlingsecurity.com/products/automated-gates/; https://www.harlingsecurity.com/; https://uk.linkedin.com/company/harling-security
L-0192,Spartek ECS Ltd,info@spartek.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,"Bidframe for solar PV, battery, EV tender reviews","solar PV for schools, local authorities, NHS trusts and public-sector bodies; MCS, NICEIC, TrustMark, RECC",https://www.spartek.co.uk/solar-pv/solar-pv-for-schools-public-sector/
L-0193,DPL Group Ltd,info@dpl-group.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,"Faster first read on solar PV, EV charging and electrical tenders","local authority solar PV for councils and housing associations; education, healthcare and public-sector sectors",https://www.dpl-group.co.uk/renewable-energy/social-housing-pv/; https://www.dpl-group.co.uk/renewable-energy/domestic-solar-pv/; https://www.dpl-group.co.uk/renewable-energy/commerical-solar-pv/
L-0194,Joju Solar,info@jojusolar.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,"Requirement checks for solar PV, battery storage and EV charging bids","universities, councils, 100+ public-sector organisations, EV charging for councils and school/council installation evidence",https://www.jojusolar.co.uk/architect-solar-design/; https://www.jojusolar.co.uk/; https://uk.linkedin.com/company/joju-solar; https://aat.cymru/how-to-install-solar-in-schools/
L-0197,Premier Technical Services,info@premiertechnical.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Requirement checks for commercial kitchen maintenance and Gas Safe catering engineers bids,"schools, education facilities, local authorities and government buildings; Gas Safe catering equipment work",https://premiertechnical.co.uk/; https://premiertechnical.co.uk/projects; https://www.linkedin.com/company/premier-technical-services-north-east/
L-0198,BBCS Ltd,service@bbcs-ltd.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,"Bidframe for commercial kitchen maintenance, refrigeration and Gas Safe catering engineers tender reviews",Gas Safe commercial catering inspections; NHS/private healthcare and education/schools; SafeContractor accreditation,https://www.bbcs-ltd.com/our-services/gas-safety; https://www.bbcs-ltd.com/news/47/501/BBCS-Achieves-SafeContractor-Accreditation; https://www.bbcs-ltd.com/contact-us
L-0199,E&D Ventilation Cleaning,info@edventilation.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Faster first read on TR19 kitchen extraction cleaning and ventilation hygiene tenders,"schools, colleges, universities, hospitals and care homes; VHR/BESA TR19 signals",https://www.edventilation.co.uk/contact; https://www.edventilation.co.uk/education; https://www.edventilation.co.uk/sectors
L-0201,Landscape Avenue Ltd,hello@landscapeavenue.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Bidframe for winter gritting tender reviews,"schools, colleges, universities, council car parks and clients including Northampton Borough Council and schools",https://www.landscapeavenue.co.uk/contact.php; https://www.landscapeavenue.co.uk/services/winter-gritting.php
L-0299,UK Drain Services Ltd,info@ukdrainservices.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Requirement checks for commercial drainage bids,Works with local authorities; WinCan reports accepted by water authorities/government sign-off bodies,https://ukdrainservices.uk/; https://ukdrainservices.uk/contact
L-0312,Fresh Start in Education,referrals@freshstartedu.co.uk,domain,verified,High,142,paid_later,0.00%,0.30%,Bidframe for interim alternative education tender reviews,"LA partnerships, schools, safeguarding, interim AP",https://freshstartineducation.co.uk/contact-us/; https://freshstartineducation.co.uk/; https://freshstartineducation.co.uk/safeguarding/
L-0012,Complete Tenders,info@completetenders.com,domain,verified,High,140,paid_later,0.00%,0.30%,Bidframe for consultancy tender reviews,Public email confirmed (peer J-028); SME-focused; can cross-refer SME clients (e.g. Garioch),completetenders.com
L-0368,John O'Conner,info@johnoconner.co.uk,generic,verified,High,140,paid_later,0.00%,0.30%,Requirement checks for winter maintenance and grounds bids,"Local authority, education and health/social care sectors; compliance-led gritting",johnoconner.co.uk/services/winter-maintenance
L-0229,Bactech Food Service Engineers,info@bactech.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,Faster first read on commercial catering maintenance and Gas Safe catering engineers tenders,"CEDA listing for planned/reactive catering-equipment maintenance, refrigeration, AC, Gas Safe inspections, DBS engineers and SafeContractor/Altius/Constructionline-style compliance",https://ceda.co.uk/members/bactech-food-service-engineers-ltd/; https://www.bactech.co.uk/category/all-products
L-0240,Ark Fire Protection Ltd,services@ark-fp.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,"Bidframe for passive fire protection, fire doors, fire stopping and remedials tender reviews","social housing and education sector pages; fire stopping, fire doors, maintenance and remedials",https://ark-fp.co.uk/contact/; https://ark-fp.co.uk/sectors/social-housing/; https://uk.linkedin.com/company/ark-fire-protection-ltd
L-0242,RiskFire Ltd,enquiries@riskfire.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,"Requirement checks for fire door remedials, inspections, fire stopping and social-housing PFP bids","social housing, occupied residential work, fire doors, fire stopping, remedials and certification pages",https://www.riskfire.co.uk/free-quote; https://www.riskfire.co.uk/social-housing; https://www.riskfire.co.uk/certifications; https://uk.linkedin.com/company/riskfire
L-0246,Element Passive Fire Protection,enquiries@element-pfp.co.uk,domain,verified,High,138,paid_later,0.00%,0.30%,"Bidframe for fire stopping, fire door installation and maintenance, and compartmentation surveys tender reviews","social housing page covers compartmentation, fire door surveys, installations and fire stopping",https://www.element-pfp.co.uk/contact-us/; https://www.element-pfp.co.uk/sectors-for-fire-protection/fire-protection-social-housing/; https://www.element-pfp.co.uk/constructionline-gold/; https://uk.linkedin.com/company/epfp
